ISBN,Book_Title,Book_Author,Year_Publication,Publisher
1578590469,Native North American Literary Companion,Janet Witalec,1998,Visible Ink Press
394823052,Robbie and the Leap Year Blues,Norma Klein,1990,Random House Childrens Books
441760074,Shadow Hunt,Anne Logston,1992,Ace Books
140302697,The Rocks of Honey (Puffin Books),Patricia Wrightson,1966,Puffin Books
787910066,The Drucker Foundation : The Community of the Future (J-B Drucker Foundation Series),Marshall  Goldsmith,1997,Jossey-Bass
671876732,KULL,Robert E. Howard,1995,Baen
140061908,Spend Game,Jonathan Gash,1982,Penguin USA
671624725,MYS WING LION ND65 (Nancy Drew (Paperback)),Carolyn Keene,1986,Aladdin
553109146,Ancient Ones,Kirk Mitchell,2001,Bantam Books
758203896,Easy,Emma Gold,2004,STRAPLESS
590306227,Dynamite Book of Ghosts and Haunted Houses,Ronan,1980,Scholastic
806998466,Decorating Scrapbooks With Rubber Stamps,Dee Gruenig,1999,Sterling Publishing
816730377,Full House: Behind the Scenes,T.R. Storey,1993,Troll Communications
1592246389,Taras Bulba and Other Tales,Nikolai V. Gogol,2003,Wildside Press
345412877,The Purina Encyclopedia of Cat Care,Amy Shojai,1998,Ballantine Books
911119744,The Cure Is in the Cupboard: How to Use Oregano for Better Health,Cassim Igram,2001,Knowledge House Publishers
1576831108,Spiritual Autobiography: Discovering and Sharing Your Spiritual Story (Spiritual Formation Study Guides),Richard Peace,1999,Navpress Publishing Group
889841977,Noise,Russell Smith,1998,Porcupine's Quill
380730561,The Journal of Antonio Montoya,Rick Collignon,1997,Avon Books
72346949,Concepts In Biology,Eldon  Enger,2002,McGraw-Hill Science/Engineering/Math
743467655,A Time to Be Born (Star Trek The Next Generation),John Vornholt,2004,Star Trek
822465019,Night Creature,Richard Layman,1986,Pearson Prentice Hall
671044710,Life Strategies,Phillip C. McGraw,1999,Simon &amp
316776661,Make Believe : A Novel,Joanna Scott,2001,Back Bay Books
60081988,The Fall of Advertising and the Rise of PR,Al Ries,2002,HarperBusiness
673800334,How Many Toes Does a Fish Have? ( Looking Beneath the Surface),Johanna Hurwitz,1993,Scott Foresman
3570500306,Das kleine Buch der Erde. Wohin gehen wir?,James Bruges,2002,Riemann Verlag
1550377310,Generals Die in Bed: A Story from the Trenches,Charles Yale Harrison,2002,Annick Press
5552446135,America Observed: The Newspaper Years of Alistair Cooke,Alistair Cooke,1988,Alfred A. Knopf
99388308,Fat is a Feminist Issue: How to Lose Weight Permanently Without Dieting,Susie Orbach,1988,Arrow Books Ltd
807613444,Voices of the Earth: An Anthology of Ideas and Arguments,J. J. Clarke,1994,W W Norton &amp
425093417,The Colt and the Sabre (Floating Outfit),J.T. Edson,1986,Berkley Pub Group
809244934,Take It Off and Keep It Off,Anonymous,1989,McGraw-Hill/Contemporary Books
517219018,The Stand,STEPHEN KING,2001,Gramercy
440411467,The Black Pearl (Yearling Newbery),Scott O'Dell,1996,Yearling Books
684852349,Love Lessons : Twelve Real Life Love Stories,Lois Smith Brady,1999,Simon &amp
1582432317,Double Stitch,John Rolfe Gardiner,2003,Counterpoint Press
1841490938,The Crystal Desert,Julia Gray,2002,Little Brown UK Ltd
743412303,The Pretender (Sonnet Books),Barbara Miller,2002,Pocket
814405673,Digital Rush: Nine Internet Start-Ups in the Race for Dot.Com Riches,Jonathan R. Aspatore,2000,AMACOM
880705744,God Came Near,Max Lucado,1987,Multnomah
866227326,The Rottweiler,Richard F. Stratton,1989,TFH Publications
674010612,Generations of Captivity: A History of African-American Slaves,Ira Berlin,2003,Belknap Press
812532082,Test of Fire,Ben Boya,1985,St Martins Pr
345344596,Regrets Only,Sally Quinn,1987,Ballantine Books
946407843,Graffiti for Hard Hearts,Donald Atkinson,1992,ARC Publications
517220091,The Selfish Giant,Oscar Wilde,2001,Derrydale Books
831716452,Around the World in 80 Days: Classic Story Books,Jules Verne,1994,Smithmark Publishers
671755080,The Raider's Bride,Kimberly Cates,1994,Pocket
1556113625,White Harvest,Louis Charbonneau,1994,Penguin USA
393966429,Anna Karenina: The Maude Translation : Backgrounds nd Sources Criticism (A Norton Critical Edition),Leo Tolstoy,1995,W. W. Norton &amp
1902035011,Wizard's Brew (The Humour Club),Chris Fox,1998,Aspire Publishing
684837005,LIVING LEAN,Larry North,1997,Fireside
2207247376,Flatland,Edwin Abbott Abbott,1998,Deno�?«l
312974752,Winter of the Wolf Moon (An Alex McKnight Novel),Steve Hamilton,2001,St. Martin's Minotaur
595248179,Anonymity,Margie Gosa Shivers,2002,Writers Club Press
571151639,Magic Water (The Adventures of Sam Pig),Allison Uttley,1989,Farrar Straus &amp
055349354X,London Calling (Elizabeth),Laurie John,2001,Bantam Books
876120419,Metaphysical Meditations,P. Yogananda,1967,Self-Realization Fellowship Publishers
684813343,BAD SAMARITAN : A Novel of Suspense Featuring Charlie Peace,Robert Barnard,1995,Scribner
140328262,The Paw Thing (Puffin Books),Paul Jennings,1988,Penguin Books Australia Ltd
896215288,I Lost Everything in the Post-natal Depression [LARGE PRINT],Erma Bombeck,1984,Thorndike Pr
080943752X,The healthy heart (Library of health),Arthur Fisher,1981,school and library distribution by Silver Burdett Co
751505196,A Most Determined Woman,Emma Blair,1994,Little Brown UK Ltd
345373472,The Hill,Leonard B. Scott,1991,Ballantine Books
446391204,How to Talk to Your Dog,Jean Craighead George,1986,Warner Books
312077289,Betsey Brown,Ntozake Shange,1986,St Martins Pr
345446666,Death in Holy Orders : An Adam Dalgliesh Mystery,P.D. JAMES,2002,Fawcett
385720149,The Last September,Elizabeth Bowen,2000,Anchor Books/Doubleday
60163283,Bones: A Forensic Detective's Casebook,Douglas H. Ubelaker,1992,Harpercollins
812540077,The Mark of Zorro,Johnston McCulley,1998,Forge
155597175X,Moon Crossing Bridge,Tess Gallagher,1992,Graywolf Press
671434926,It's Just Too Much,Jean Davies Okimoto,1982,Pocket Books
786000694,Web of Deceit,Gary C. King,1994,Pinnacle Books
1561707058,Holy Spirit: The Boundless Energy of God,Ron Roth,2000,Hay House
446520675,Brain Longevity: The Breakthrough Medical Program That Improves Your Mind and Memory,Dharma Singh Khalsa,1997,Warner Books Inc
1897766653,A Vegan Taste of Italy,Linda Majzlik,2002,Jon Carpenter Publishing
140274294,Lady Chatterley's Lover (Essential.penguin S.),D.H. Lawrence,1998,Penguin Books Ltd
155734678X,Creative Crafts for Clever Kids: Exciting Projects from Everyday Stuff,Loralyn Radcliffe,1996,Teacher Created Materials
821730924,Texas Dawn,Vivian Vaughan,1990,Kensington Pub Corp (Mm)
300078056,The Cast of Characters: A Reading of Ulysses,Paul Schwaber,1999,Yale University Press
345347552,Adventures in Prayer,Catherine Marshall,1990,Ballantine Books
684196654,BEHIND THE PLAYDOUGH CURTAIN,Patricia Wollman,1994,Scribner
926524097,Plant Spirit Medicine: The Healing Power of Plants,Eliot Cowan,1995,Blue Water Publishing (NC)
571148166,The Way-Paver,Anne Devlin,1988,Faber &amp
60933925,All My Mothers and Fathers: A Memoir,Michael Blumenthal,2003,Perennial
038529719X,Turkey Hash,Craig Nova,1989,Bantam Dell Pub Group
1853710725,City girl,Patricia Scanlan,1992,Poolbeg
670030198,The Mitford Snowmen,Jan Karon,2004,Viking Books
671646567,Season on the Brink: A Year with Bobby Knight and the Indiana Hoosiers,John Feinstein,1987,Pocket Books
1575667649,Bound in Blood: The Erotic Journey of a Vampire,David Thomas Lord,2001,Kensington Publishing Corporation
60747730,A Personal Matter,Karyn Langhorne,2004,HarperTorch
553477110,The Acolyte,David Compton,1996,Random House Audio
876901674,Sunshine days and foggy nights: [poems],James J Kavanaugh,1975,E. P. Dutton
399516727,Signing for Kids,Mickey Flodin,1991,Perigee Books
91830931,The Hotel Albatross,Debra Adelaide,1995,Vintage
330492136,Chocolate Girls,Annie Murray,2003,Pan Macmillan
397006659,The Quality of Life,James A. Michener,1970,Lippincott Williams &amp
446351601,Racing Hearts (American Regency),Eileen Witton,1988,Warner Books
553271121,Living on the Ragged Edge,Charles Swindoll,1988,Bantam Books
3593367718,Schl�?¼sseljahre. Stationen meines Lebens.,Peter Drucker,2001,Campus Sachbuch
20896913,The BATTLING PROPHET (Scribner Crime Classics),Arthur Upfield,1988,Scribner Paper Fiction
316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books
373196180,The Will To Love  (Morgan's Mercenaries:  Ultimate Rescue),Lindsay Mckenna,2002,Silhouette
006080999X,The Detective Wore Silk Drawers (Sergeant Cribb Mystery),Peter Lovesey,1989,Harpercollins
1561451827,Older but Wilder: More Notes from the Pasture,Effie Leland Wilder,1998,Peachtree Publishers
1570647119,Barney's Book of Foods,Mark Bernthal,2000,Lyrick
1565123654,The Divine Economy of Salvation,Priscila Uppal,2002,Algonquin Books of Chapel Hill
865420017,Nurse-Midwifery,Helen Varney,1980,Elsevier Science Health Science div
156023377X,Sex Terror: Erotic Misadventures in Pop Culture,Mark Simpson,2002,Haworth Press
671505254,The SEARCH FOR THE SNOW LEOPARD: HARDY BOYS #139,Franklin W. Dixon,1996,Aladdin
764223488,Solemn Oath (Er Trilogy),Hannah Alexander,2000,Bethany House Publishers
61083887,Kiss Me Katie,Robin Lee Hatcher,1996,HarperCollins Publishers
8401479452,Rechicero,Terry Pratchett,1999,Downtown Book Center
679409947,The Trial (Everyman's Library),Franz Kafka,1992,Everyman's Library
1863730168,The mint lawn,Gillian Mears,1991,Allen &amp
1864489448,Spit the Dummy,Danny Katz,2000,Allen &amp
881846872,Courage: True Stories of American Sports Heroes,Mike Celizic,1991,Pub Group West
1859844111,The Spirit of Terrorism: And Requiem for the Twin Towers,Jean Baudrillard,2002,W. W. Norton &amp
684803585,END OF SUMMER,John Lamb,1995,Simon &amp
515089877,A Touch of Wonder,Arthur Gordon,1991,Jove Books
448168278,Disney's World of Riddles,Weigle,1979,Putnam Pub Group
1588513505,Death Stalks the Khmer,Patricia Harrington,2001,Publishamerica
312195281,The Thirteenth Daughter of the Moon,Steven Nightingale,1998,St. Martin's Press
1578563682,Every Man's Battle: Winning the War on Sexual Temptation One Victory at a Time,Stephen Arterburn,2000,Waterbrook Press
089577044X,The World's Last Mysteries,Reader's Digest,1978,Reader's Digest Association
516133357,The illustrated Flintstone dictionary,Horace J Elias,1979,Watertower Books
785814922,Where Eagles Fly: A Shamanic Way to Personal Fulfilment (Craft of Life),Kenneth Meadows,2002,Castle Books
375403264,N Is for Noose,Sue Grafton,1998,Random House Audio
895556448,The Alta Vendita,John Vennari,1999,Tan Books &amp
486275442,The Three Sisters (Dover Thrift Editions),Anton Pavlovich Chekhov,1993,Dover Publications
446673714,The Soul's Code : In Search of Character and Calling,James Hillman,1997,Warner Books
812966112,The Scarlet Pimpernel (Modern Library Classics),Emmuska Orczy Orczy,2002,Modern Library
006092909x,Already Dead : A California Gothic,Denis Johnson,1998,Perennial
068483507X,LIFE BEFORE DEATH,Abby Frucht,1997,Scribner
531044769,Marie Curie (An Impact Biography),Mollie Keller,1982,Scholastic Library Pub
1583144706,Forever After (Arabesque),Kimberley White,2004,Arabesque
1558172629,Brain Fever,Ron Dee,1989,Pinnacle Books
097077950X,Cookie Boy : The Authentic Cajun Recipes of Mel Melton,Mel Melton,2000,KarToBi Publishing
821756354,Savage Heart,Cassie Edwards,1997,Kensington Pub Corp (Mm)
451142004,Sweet Surrender,Catherine Coulter,1984,New American Library
749312475,The Queen of Hearts,Barbara Cartland,1992,Mandarin
786208236,The Blue Wall (Thorndike Large Print Basic Series),Kenneth Abel,1996,Thorndike Pr
553577603,The Witch and the Warrior,Karyn Monk,1998,Bantam
61057320,Black Light,Elizabeth Hand,2000,HarperTorch
373111010,Living Dangerously,Elizabeth Oldfield,1988,Harlequin
425179605,Some Things That Stay,Sarah Willis,2001,Berkley Publishing Group
486202712,German How to Speak and Write It (Beginners' Guides),Rosenberg,1962,Dover Publications
765343584,White Jenna : Book Two of the Great Alta Saga (Great Alta Saga),Jane Yolen,2003,Tor Teen
812540387,Stinger,Nancy Kress,2000,Tor Books
300069049,Cosima Wagner's Diaries: An Abridgement,Cosima Wagner,1997,Yale University Press
413602907,Clockwise: A Screenplay (A Methuen paperback),Michael Frayn,1986,Greenwood Pub Group
440222605,Do You Have Attention Deficit Disorder?,James Lawrence Thomas,1996,Dell Publishing Company
1931514461,Real Bout High School #2,Reiji Saiga,2002,Tokyopop
1573241628,Everyday Serenity: Meditations for People Who Do Too Much,David Kundtz,1999,Conari Press
042514335X,Silent Descent,Dick Couch,1994,Berkley Publishing Group
3257062508,Mit Staunen und Zittern.,Amelie Nothomb,2000,Diogenes Verlag
385475365,Angels in Our Midst,Editors of Guideposts Magazine,1994,Doubleday
29695902,Berlitz Guide to Montreal,Berlitz Publishing,1988,Berlitz Guides
373691068,A Montana Christmas,Kristine Rolofson,2002,Harlequin
1575665697,Fit for Life: A New Beginning : Your Complete Diet and Health Plan for the Millennium,Harvey Diamond,2000,Kensington Publishing Corporation
1567315399,Moments of Enlightenment: Stories from Ancient and Modern Masters,Dalai Lama,2002,MJF Books
8484504883,Montado En LA Bala,S. King,2001,Debols!llo
1573221740,Renovations: A Father and Son Rebuild a House and Rediscover Each Other,John Marchese,2001,Riverhead Books
1584792272,Flower Style : The FTD Guide to Flowers in Your Home,Pat Ross,2002,Stuart
385178816,An Autumn in Araby,Carola Salisbury,1983,Bantam Dell Pub Group
449125173,The Infiltrators,Donald Hamilton,1984,Fawcett Books
1573920045,The Joy of Books: Confessions of a Lifelong Reader,Eric Burns,1995,Prometheus Books
765343967,Tracking Bear (Ella Clah),Aimee Thurlo,2004,Forge Books
393313719,The Revolt of the Elites: And the Betrayal of Democracy,Christopher Lasch,1996,W. W. Norton &amp
743423968,The Ultimate Halloween,Marvin Kaye,2001,I Books
034069582X,Song of the Greys,Kerner,1999,Trafalgar Square
140236163,Sweet William: A Memoir of Old Horse,John Hawkes,1994,Penguin Books
345311949,Stars Like Dust,Isaac Asimov,1983,Del Rey Books
1869400046,Taking in the View,Michael Morrissey,1987,Auckland University Press
074322535X,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone
804117942,Spontaneous Healing : How to Discover and Embrace Your Body's Natural Ability to Maintain and Heal Itself,Andrew Weil M.D.,2000,Ballantine Books
307060659,Bedtime for Baby (Golden Board Book),Margo Lundell,1994,Golden Books
60168579,\Yes\ or \No\: The Guide to Better Decisions,Spencer Johnson,1992,Harpercollins
131613073,Complete Handbook of Voice Training,Richard Alderson,1979,Parker Publishing Company
1559703164,Lovesong : Becoming a Jew,Julius Lester,1995,Arcade Publishing
553070002,Well-Schooled in Murder,Elizabeth George,1990,Bantam Books
671009206,Kurt Vonnegut's Slaughterhouse Fiven (Cliffs Notes),Kurt Vonnegut,1986,Monarch Press
1931561494,Me and Orson Welles: A Novel,Robert Kaplow,2003,MacAdam/Cage Publishing
2868695027,Pourquoi j'ai mange mon pere,Lewis Roy,1993,Actes Sud
8437601487,La Tregua,Mario Benedetti,1989,Ediciones Catedra
1569470510,Word Stems: A Dictionary,John Kennedy,1996,Soho Press
141007966,The Bay of Contented Men,Robert Drewe,2002,Penguin Books Australia Ltd.
517570106,Edgar Allan Poe (Great American Poets),Geoffrey Moore,1988,Random House Inc
8481090328,Poesia y Otros Textos,Juan de La Cruz San,2001,Galaxia Gutenberg
9812349502,Insight Guide Scotland (Insight Guides),Josephine Buchanan,2003,Insight Guides
067188462X,Target for Terror (A Nancy Drew and Hardy Boys Super Mystery),Carolyn Keene,1995,Simon Pulse
70182418,The New Executive Assistant: Advice for Succeeding in Your Career,Melba J. Duncan,1997,McGraw-Hill Trade
671622269,GOING HOME,Danielle Steel,1985,Pocket
446310301,Fear and Loathing in Las Vegas,Hunter S. Thompson,1982,Not Avail
671524070,99 Novels: The Best in English Since 1939,Anthony Burgess,1984,Daedalus Books
241107113,Pope John Paul II (Profiles Series),Mary Craig,1982,Trafalgar Square Publishing
836217179,Chickens Are Restless (Far Side Series),Gary Larson,1993,Andrews McMeel Publishing
3216306119,Liebe in fremden Betten.,Friedrich Wei�?�?ensteiner,2002,Deuticke
515089842,Move Ahead With Possibility Thinking,Robert Schuller,1986,Jove Books
60230398,The Best School Year Ever,Barbara Robinson,1994,HarperCollins
1590580281,Anchoress of Shere,Paul L. Moorcraft,2003,Poisoned Pen Press
1900512823,The Little Book of Not Smoking,Neil Casey,1999,Metro Publishing Ltd
704338408,Herland,Charlotte Perkins Gilman,1979,The Women's Press
711024863,The Heyday of London's Buses,McCormack,1996,Ian Allan Publishing Ltd
1576463168,The Golden Road,Lucy Maud Montgomery,2000,Quiet Vision Pub
553295632,Eight Skilled Gentlemen,Barry Hughart,1992,Spectra Books
345228820,The OSS in World War II,E. Hymoff,1974,Ballantine Books
067973225X,As I Lay Dying: The Corrected Text (Vintage International),William Faulkner,1990,Vintage Books USA
1576832899,The Message: The Bible in Contemporary Language,Eugene H. Peterson,2002,Navpress Publishing Group
082221704X,Wit,Margaret Edson,1999,Dramatists Play Service Inc
553152831,Mona is Missing,Shannon Gilligan,1984,Bantam Books
967596130,In Her Own Words: The After-death Journal of Princess Diana,Christine Toomey,1999,English Rose Pr
749307862,Rusalka,C.J. Cherryh,1991,Arrow
380848228,Dora Doralina,Rachel De Queiroz,1984,Harper Mass Market Paperbacks (Mm)
1552782492,The Potter's House,Rosie Thomas,2002,McArthur &amp
60977493,The God of Small Things,Arundhati Roy,1998,Perennial
446385905,Learned Pigs and Fireproof Women,Ricky Jay,1987,Warner Books
385039611,The Ms. guide to a woman's health: The most up-to-date guide to a woman's health and well-being,Cynthia W Cooke,1979,Doubleday
380715449,Redcoats and Rebels: The American Revolution Through British Eyes,Christopher Hibbert,1991,Harpercollins
737300779,The Type 2 Diabetes Desserts Cookbook,Lois M. Soneral,1999,McGraw-Hill
60159448,Too cool to get married and other true stories,David Seeley,1989,Harper &amp
312014724,Love Alone: Eighteen Elegies for Rog,Paul Monette,1988,St Martins Pr
805028234,Twice in a Blue Moon (Henry Holt Mystery Series),Patricia Moyes,1993,Henry Holt &amp
815323034,The New Arthurian Encyclopedia (Updated Paperback Edition),Norris J. Lacy,1995,Garland Publishing
019283441X,The Mayor of Casterbridge (Oxford World's Classics),Thomas Hardy,1998,Oxford University Press
312142382,Post,Bjork,1996,St Martins Pr
1864503343,Lonely Planet Greece (Lonely Planet Greece),David Willett,2002,Lonely Planet Publications
1584853050,Madame Amelia Tells All (Amelia),Marissa Moss,2001,Pleasant Company Publications
316314862,Flights of Angels,Ellen Gilchrist,1998,Little Brown and Company
553270222,The Haunted Mesa,LOUIS L'AMOUR,1988,Bantam
1582341060,Homework,Suneeta Peres Da Costa,2001,Bloomsbury Publishing (NY)
553096060,Sein Language,JERRY SEINFELD,1993,Bantam
006097530X,Outerbridge Reach: A Novel,Robert Stone,1993,HarperCollins
64440559,Arthur's Christmas Cookies (I Can Read Book 2),Lillian Hoban,1984,HarperTrophy
3596136156,Ein anderes Leben gibt es nicht.,Maria Nurowska,1997,Fischer (Tb.)
60183683,Dead in the Water: A Novel,Stuart Woods,1997,Harpercollins
080070925X,Hear the Children Crying,Dale Evans. Rogers,1978,Baker Pub Group
394755308,Adam's task: Calling animals by name,Vicki Hearne,1987,Vintage Books
671003119,SHINY WATER,Anna Salter,1998,Pocket Star
801830133,Life in the Chesapeake Bay,Alice Jane Lippson,1984,Johns Hopkins Univ Pr
531054608,Do-Over: A Novel,Rachel Vail,1992,Orchard Books (NY)
609608622,Pillsbury Doughboy Slow Cooker Recipes,Pillsbury Editors,2003,Clarkson N Potter Publishers
1563521059,Dreadful Delicacies,Al Clayton,1993,Natl Book Network
812511077,Songsmith (Witch World Chronicles),Andre Norton,1993,Tor Books
590108492,The Battlefield Ghost,Margery Cuyler,2002,Scholastic Paperbacks
912500522,Mothering Your Nursing Toddler,Norma J. Bumgarner,2000,La Leche League International
882405586,The Winter Walk: A Century-Old Survival Story from the Arctic,Loretta Outwater Cox,2004,Graphic Arts Center Publishing Company
800629701,The Faith of a Physicist: Reflections of a Bottom-Up Thinker (Theology and the Sciences),John Polkinghorne,1996,Augsburg Fortress Publishers
449909573,Savages and Civilization: Who Will Survive?,J. McIver Weatherford,1995,Ballantine Books
517360578,Murderess ink: The better half of the mystery,Dilys Winn,1981,Distributed by Crown Publishers
889951209,Song Spinner (Northern Lights Books for Children),Pauline Lebel,1994,Red Deer Press
553382152,Embraced by the Light,Betty J. Eadie,2002,Bantam
312961553,The Finer Things,Brenda Joyce,1997,St. Martin's Press
889711844,Where the Words Come from: Canadian Poets in Conversation,Tim Bowling,2002,Nightwood Editions
1557040621,The Healing Touch: The Proven Massage Program for Cats and Dogs,Michael W. Fox,1990,Newmarket Press
60173114,Breaking and Entering: Women Cops Talk About Life in the Ultimate Men's Club,Connie Fletcher,1995,Harpercollins
446609145,Void Moon,Michael Connelly,2001,Warner Vision
929923510,The Twelve-Month Pregnancy: What You Need to Know Before You Conceive to Ensure a Healthy Beginning for You and Your Baby,Barry Herman,1992,Lowell House
3426621584,Thunderhead.,Douglas Preston,2002,Droemersche Verlagsanstalt Th. Knaur Nachf.
61054275,Eternity Road,Jack McDevitt,1998,Eos
881845310,Marilyn's Daughter,John Rechy,1989,Pub Group West
316826200,Of Beetles and Angels : A Boy's Remarkable Journey from a Refugee Camp to Harvard,Mawi Asgedom,2002,Megan Tingley
345308417,Hiero's Journey: A Romance of the Future,Sterling Lanier,1983,Del Rey Books
553407937,Death of an Outsider,M. C. Beaton,2000,Trafalgar Square
316234966,My Mother's Secret Life,Rebecca Emberley,1998,Little Brown &amp
786249129,Bone Dry,Bette Golden Lamb,2003,Five Star (ME)
312978383,Winter Solstice,Rosamunde Pilcher,2001,St. Martin's Paperbacks
874063000,That Doggone Dog (Willowisp Sappling (Sic)),Alison Strickland,1987,Pages Publishing Group
312301138,Evan Only Knows: A Constable Evans Mystery,Rhys Bowen,2003,St. Martin's Minotaur
330344986,The Black Moon: Book 5 (Poldark Saga),Winston Graham,1996,Pan UK
451524233,Tarzan of the Apes (Tarzan),Edgar Rice Burroughs,1990,Signet Classics
843948574,Naomi,Douglas Clegg,2001,Dorchester Publishing Company
1578561264,Really Bad Girls of the Bible: More Lessons from Less-Than-Perfect Women,Liz Curtis Higgs,2000,Waterbrook Press
037550446X,Passing (Modern Library),Nella Larsen,2000,Modern Library
525945709,The Language of Good-Bye,Maribeth Fischer,2001,Dutton Books
882704621,From the Pinnacle of the Temple,Charles Jr. Farah,1979,Bridge Logos Pub
8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza
671894358,The DEADLY FIRE (FEAR STREET CATALUNA CHR 3) : THE DEADLY FIRE,R.L. Stine,1995,Simon Pulse
044008976X,The top of the hill,Irwin Shaw,1979,Delacorte Press
345347099,The Traveler,John Katzenbach,1993,Ballantine Books
380727633,The Bum's Rush (Leo Waterman Mysteries (Paperback)),G.M. Ford,1998,Avon
895775549,A-Z of Perennials (Successful Gardening),Readers Digest,1993,Reader's Digest Association
811821102,Surfing San Onofre to Point Dume: 1936-1942,Don James,1998,Chronicle Books
439376459,Ricky Ricotta's Mighty Robot Vs. Stupid Stinkbugs from Saturn: The Sixth Robot Adventure Novel (Ricky Ricotta),Dav Pilkey,2003,Blue Sky Press (AZ)
3453198824,Der Beste Sommer Unseres Lebens,Andriana Trigiani,2002,Distribooks
345378792,The Case of the Queenly Contestant (A Perry Mason Mystery),Erle Stanley Gardner,1994,Fawcett Books
571050190,Selected Poems,T.           T Gunn,1962,Farrar Straus &amp
155710011X,Do Not Disturb Any Further,John Callahan,1990,Quill/William Morrow
923808019,Wheels of Light: A Study of the Chakras (Wheels of Light),Rosalyn L. Bruyere,1989,Bon Productions
385478216,In the Wilderness: Coming of Age in Unknown Country,Kim Barnes,1997,Anchor
517187213,Sonnets from the Portuguese,ELIZABETH BARRETT BROWNING,1997,Gramercy
446529532,Susannah Morrow,Megan Chance,2002,Warner Books
563383623,Ready Steady Cook 4: 50 Delectable Dishes from TV's Top Cookery Show,Ainsley Harriott,1997,BBC Consumer Publishing
2742739386,Mon ange,Guillermo Rosales,2002,Actes Sud
3701182,Four Short Stories (Collins English Library Level 1),Margery Morris,1978,Pearson English Language Teaching
61095508,Miss America,Howard Stern,1996,ReganBooks
452282918,The Warmest December,Bernice L. McFadden,2002,Plume Books
515123676,Irresistible,Mary Balogh,1998,Jove Books
752837710,Dance with Me,Victoria Clayton,2000,Orion mass market paperback
764550020,Cooking for Dummies,Bryan Miller,1996,John Wiley &amp
076422154X,A Garden to Keep,Jamie Langston Turner,2001,Bethany House Publishers
380713004,Peace to End All Peace: The Fall of the Ottoman Empire and the Creation of the Modern Middle East,David Fromkin,1990,Quill
689820496,River Friendly River Wild,Jane Kurtz,2000,Simon &amp
380805715,An Honest President : The Life and Presidencies of Grover Cleveland,H. P. Jeffers,2002,Perennial
916534022,Dream reality: The conscious creation of dream and paranormal experience,James J Donahoe,1974,Bench Press
8420616028,Poesia (Seccion Clasicos),Antonio MacHado,1997,Alianza Editorial
930435699,Hocus Pocus (Bookcassette(r) Edition),Kurt Vonnegut,1990,Bookcassette
426205049,The Dying Days (Doctor Who : the New Adventures),Lance Parkin,1997,London Bridge
3293202411,Miramar.,Nagib Machfus,2002,Unionsverlag
671855719,The New Lords of the Rings: Olympic Corruption and How to Buy Gold Medals,Andrew Jennings,1996,Simon &amp
385296525,Privileged Lives,Edward Stewart,1988,Bantam Dell Pub Group
440194784,Welcome to the Monkey House,Kurt Vonnegut,1991,Dell Publishing Company
226610862X,La maison des enfants,Boissard,2001,Pocket
425127753,Chronic Muscle Pain Syndrome,Paul Davidson,1994,Berkley Publishing Group
590316842,Dinosaurs to Dodos: An Encyclopedia of Extinct Animals,Don Lessem,1999,Scholastic
553269127,Children of the Lion,Peter Danielson,1991,Bantam Books
312890060,Escape from Kathmandu,Kim Stanley Robinson,1994,St Martins Pr
345375521,Witnesses from the Grave: The Stories Bones Tell,Christopher Joyce,1992,Ballantine Books
039541668X,Miss Nelson Is Back (Reading Rainbow),Harry G. Allard,1986,Houghton Mifflin
61059307,Nascar Rolling Thunder (NASCAR Pole Position Adventures),T.B. Calhoun,1998,HarperEntertainment
736410937,Tiggerific Things (Great Big Board Book),JENNIFER LIBERTS,2001,RH/Disney
425196550,Kinsman's Oath (Berkley Sensation),Susan Krinard,2004,Berkley Publishing Group
786002948,Change,Ann Maxwell,1996,Pinnacle Books
1568846444,Gardening for Dummies,Michael MacCaskey,1996,John Wiley &amp
3518381822,Barbarische Hochzeit. Roman.,Yann Queffelec,1989,Suhrkamp
806511532,The Short Happy Life of the Brown Oxford: And Other Classic Stories (Collected Stories of Philip K. Dick),Philip K. Dick,1990,Citadel Press
1560769238,City Sites (Advanced Dungeons and Dragons 2nd Edition),Skip Williams,1995,Wizards of the Coast
385014856,Guests of the Sheik: An Ethnography of an Iraqi Village,Elizabeth Warnock Fernea,1969,Anchor
3423203722,Feanors Fluch. Erz�?¤hlung.,John Ronald Reuel Tolkien,2000,Dtv
1857993748,Astonishing the Gods,Ben Okri,1996,Orion Publishing Co
439087104,98 Degrees: Backstage Pass,Nina Zier,1999,Scholastic
671836536,OLD PATAGONIA EXP,Paul Theroux,1980,Pocket
330484508,A Crown of Lights,Phil Rickman,2002,Pan Books - Macmillan UK
345458265,The Imaginary Girlfriend (Ballantine Reader's Circle),John Irving,2002,Ballantine Books
521398320,The Fall of Constantinople 1453 (Canto),Steven Runciman,1990,Cambridge University Press
821776312,Pure Dynamite,Lauren Bach,2004,Zebra Books
1568652054,The Dark is Rising,Susan Cooper,1996,Doubleday Books
3426611724,Schattenw�?¶lfe.,Thomas G�?¶rden,2003,Droemer Knaur
61001791,Cry Spy,William Hood,1991,Harper Mass Market Paperbacks (Mm)
471417920,John Neff on Investing,John  Neff,2001,Wiley
